_id,Year,County,Hospital,Surgery,# of Cases (ICD 9),# of Cases (ICD 10),LONGITUDE,LATITUDE
81,2013,Alameda,Valleycare Medical Center,Rectum,5,,-121.88095,37.69206
82,2013,Alameda,Valleycare Medical Center,Colon,25,,-121.88095,37.69206
83,2013,Alameda,Eden Medical Center,Bladder,1,,-122.0874055,37.6983769
84,2013,Alameda,Eden Medical Center,Breast,54,,-122.0874055,37.6983769
85,2013,Alameda,Eden Medical Center,Colon,13,,-122.0874055,37.6983769
86,2013,Alameda,Eden Medical Center,Stomach,1,,-122.0874055,37.6983769
87,2013,Alameda,Eden Medical Center,Liver,1,,-122.0874055,37.6983769
88,2013,Alameda,Eden Medical Center,Pancreas,1,,-122.0874055,37.6983769
89,2013,Alameda,Eden Medical Center,Brain,27,,-122.0874055,37.6983769
90,2013,Alameda,Eden Medical Center,Rectum,3,,-122.0874055,37.6983769
91,2013,Alameda,Eden Medical Center,Prostate,3,,-122.0874055,37.6983769
92,2013,Alameda,Eden Medical Center,Lung,10,,-122.0874055,37.6983769
93,2013,Amador,Sutter Amador Hospital,Colon,7,,-120.77272,38.34743
94,2013,Amador,Sutter Amador Hospital,Breast,3,,-120.77272,38.34743
95,2013,Butte,Biggs Gridley Memorial Hospital,Colon,2,,-121.69058,39.36705
96,2013,Butte,Feather River Hospital,Breast,48,,-121.57218,39.75641
97,2013,Butte,Feather River Hospital,Rectum,3,,-121.57218,39.75641
98,2013,Butte,Feather River Hospital,Colon,14,,-121.57218,39.75641
99,2013,Butte,Feather River Hospital,Lung,4,,-121.57218,39.75641
100,2013,Butte,Oroville Hospital,Breast,28,,-121.5428,39.50485
101,2013,Butte,Oroville Hospital,Stomach,1,,-121.5428,39.50485
102,2013,Butte,Oroville Hospital,Prostate,13,,-121.5428,39.50485
103,2013,Butte,Oroville Hospital,Rectum,1,,-121.5428,39.50485
104,2013,Butte,Oroville Hospital,Lung,1,,-121.5428,39.50485
105,2013,Butte,Oroville Hospital,Colon,12,,-121.5428,39.50485
106,2013,Butte,Enloe Medical Center – Esplanade,Rectum,7,,-121.84922,39.74224
107,2013,Butte,Enloe Medical Center – Esplanade,Colon,41,,-121.84922,39.74224
108,2013,Butte,Enloe Medical Center – Esplanade,Stomach,1,,-121.84922,39.74224
109,2013,Butte,Enloe Medical Center – Esplanade,Lung,14,,-121.84922,39.74224
110,2013,Butte,Enloe Medical Center – Esplanade,Brain,6,,-121.84922,39.74224
111,2013,Butte,Enloe Medical Center – Esplanade,Breast,158,,-121.84922,39.74224
112,2013,Butte,Enloe Medical Center – Esplanade,Bladder,4,,-121.84922,39.74224
113,2013,Butte,Enloe Medical Center – Esplanade,Prostate,10,,-121.84922,39.74224
114,2013,Calaveras,Mark Twain Medical Center,Colon,2,,-120.67105,38.19021
115,2013,Calaveras,Mark Twain Medical Center,Breast,9,,-120.67105,38.19021
116,2013,Colusa,Colusa Regional Medical Center,Colon,1,,-122.00031,39.20727
117,2013,Contra Costa,Doctors Medical Center – San Pablo,Breast,17,,-122.33866,37.95279
118,2013,Contra Costa,Doctors Medical Center – San Pablo,Prostate,1,,-122.33866,37.95279
119,2013,Contra Costa,Doctors Medical Center – San Pablo,Bladder,1,,-122.33866,37.95279
120,2013,Contra Costa,Doctors Medical Center – San Pablo,Stomach,2,,-122.33866,37.95279
121,2013,Contra Costa,Doctors Medical Center – San Pablo,Colon,11,,-122.33866,37.95279
122,2013,Contra Costa,Doctors Medical Center – San Pablo,Rectum,6,,-122.33866,37.95279
123,2013,Contra Costa,Contra Costa Regional Medical Center,Breast,77,,-122.13101,38.00646
124,2013,Contra Costa,Contra Costa Regional Medical Center,Rectum,3,,-122.13101,38.00646
125,2013,Contra Costa,Contra Costa Regional Medical Center,Stomach,1,,-122.13101,38.00646
126,2013,Contra Costa,Contra Costa Regional Medical Center,Colon,18,,-122.13101,38.00646
127,2013,Contra Costa,Sutter Delta Medical Center,Colon,9,,-121.8054,37.98222
128,2013,Contra Costa,Sutter Delta Medical Center,Stomach,1,,-121.8054,37.98222
129,2013,Contra Costa,Sutter Delta Medical Center,Bladder,1,,-121.8054,37.98222
130,2013,Contra Costa,Sutter Delta Medical Center,Breast,33,,-121.8054,37.98222
131,2013,Contra Costa,Sutter Delta Medical Center,Prostate,3,,-121.8054,37.98222
132,2013,Contra Costa,John Muir Medical Center – Walnut Creek Campus,Brain,37,,-122.04183,37.91434
133,2013,Contra Costa,John Muir Medical Center – Walnut Creek Campus,Stomach,1,,-122.04183,37.91434
134,2013,Contra Costa,John Muir Medical Center – Walnut Creek Campus,Liver,5,,-122.04183,37.91434
135,2013,Contra Costa,John Muir Medical Center – Walnut Creek Campus,Prostate,2,,-122.04183,37.91434
136,2013,Contra Costa,John Muir Medical Center – Walnut Creek Campus,Pancreas,2,,-122.04183,37.91434
137,2013,Contra Costa,John Muir Medical Center – Walnut Creek Campus,Colon,32,,-122.04183,37.91434
138,2013,Contra Costa,John Muir Medical Center – Walnut Creek Campus,Breast,107,,-122.04183,37.91434
139,2013,Contra Costa,John Muir Medical Center – Walnut Creek Campus,Bladder,2,,-122.04183,37.91434
140,2013,Contra Costa,John Muir Medical Center – Walnut Creek Campus,Lung,36,,-122.04183,37.91434
141,2013,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,Esophagus,5,,-122.05828,37.8923
142,2013,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,Colon,78,,-122.05828,37.8923
143,2013,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,Stomach,3,,-122.05828,37.8923
144,2013,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,Prostate,11,,-122.05828,37.8923
145,2013,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,Rectum,26,,-122.05828,37.8923
146,2013,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,Breast,375,,-122.05828,37.8923
147,2013,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,Pancreas,1,,-122.05828,37.8923
148,2013,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,Lung,46,,-122.05828,37.8923
149,2013,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,Bladder,4,,-122.05828,37.8923
150,2013,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,Liver,1,,-122.05828,37.8923
151,2013,Contra Costa,John Muir Medical Center – Concord Campus,Colon,30,,-122.03874,37.98615
152,2013,Contra Costa,John Muir Medical Center – Concord Campus,Lung,28,,-122.03874,37.98615
153,2013,Contra Costa,John Muir Medical Center – Concord Campus,Prostate,54,,-122.03874,37.98615
154,2013,Contra Costa,John Muir Medical Center – Concord Campus,Stomach,3,,-122.03874,37.98615
155,2013,Contra Costa,John Muir Medical Center – Concord Campus,Breast,68,,-122.03874,37.98615
156,2013,Contra Costa,John Muir Medical Center – Concord Campus,Rectum,21,,-122.03874,37.98615
157,2013,Contra Costa,John Muir Medical Center – Concord Campus,Esophagus,6,,-122.03874,37.98615
158,2013,Contra Costa,San Ramon Regional Medical Center,Prostate,16,,-121.96076,37.77713
159,2013,Contra Costa,San Ramon Regional Medical Center,Lung,3,,-121.96076,37.77713
160,2013,Contra Costa,San Ramon Regional Medical Center,Breast,104,,-121.96076,37.77713
161,2013,Contra Costa,San Ramon Regional Medical Center,Colon,19,,-121.96076,37.77713
162,2013,Contra Costa,San Ramon Regional Medical Center,Rectum,4,,-121.96076,37.77713
163,2013,Contra Costa,San Ramon Regional Medical Center,Liver,1,,-121.96076,37.77713
164,2013,Contra Costa,Kaiser Foundation Hospital – Antioch,Breast,104,,-121.776854,37.951975
165,2013,Contra Costa,Kaiser Foundation Hospital – Antioch,Pancreas,10,,-121.776854,37.951975
166,2013,Contra Costa,Kaiser Foundation Hospital – Antioch,Colon,42,,-121.776854,37.951975
167,2013,Contra Costa,Kaiser Foundation Hospital – Antioch,Liver,31,,-121.776854,37.951975
168,2013,Contra Costa,Kaiser Foundation Hospital – Antioch,Stomach,12,,-121.776854,37.951975
169,2013,Contra Costa,Kaiser Foundation Hospital – Antioch,Bladder,2,,-121.776854,37.951975
170,2013,Contra Costa,Kaiser Foundation Hospital – Antioch,Rectum,6,,-121.776854,37.951975
171,2013,Contra Costa,Kaiser Foundation Hospital – Antioch,Prostate,1,,-121.776854,37.951975
172,2013,Del Norte,Sutter Coast Hospital,Colon,4,,-124.19514,41.77278
173,2013,Del Norte,Sutter Coast Hospital,Breast,18,,-124.19514,41.77278
174,2013,El Dorado,Barton Memorial Hospital,Colon,4,,-119.99784,38.91224
175,2013,El Dorado,Barton Memorial Hospital,Breast,11,,-119.99784,38.91224
176,2013,El Dorado,Marshall Medical Center,Lung,3,,-120.7909638,38.72557326
177,2013,El Dorado,Marshall Medical Center,Rectum,5,,-120.7909638,38.72557326
178,2013,El Dorado,Marshall Medical Center,Prostate,1,,-120.7909638,38.72557326
179,2013,El Dorado,Marshall Medical Center,Stomach,1,,-120.7909638,38.72557326
180,2013,El Dorado,Marshall Medical Center,Colon,19,,-120.7909638,38.72557326
181,2013,El Dorado,Marshall Medical Center,Breast,45,,-120.7909638,38.72557326
182,2013,Fresno,Clovis Community Medical Center,Lung,14,,-119.66072,36.83745
183,2013,Fresno,Clovis Community Medical Center,Stomach,8,,-119.66072,36.83745
184,2013,Fresno,Clovis Community Medical Center,Pancreas,4,,-119.66072,36.83745
185,2013,Fresno,Clovis Community Medical Center,Rectum,10,,-119.66072,36.83745
186,2013,Fresno,Clovis Community Medical Center,Liver,2,,-119.66072,36.83745
187,2013,Fresno,Clovis Community Medical Center,Bladder,3,,-119.66072,36.83745
188,2013,Fresno,Clovis Community Medical Center,Esophagus,3,,-119.66072,36.83745
189,2013,Fresno,Clovis Community Medical Center,Colon,38,,-119.66072,36.83745
190,2013,Fresno,Clovis Community Medical Center,Prostate,35,,-119.66072,36.83745
191,2013,Fresno,Clovis Community Medical Center,Breast,362,,-119.66072,36.83745
192,2013,Fresno,Community Regional Medical Center – Fresno,Lung,11,,-119.78324,36.74253
193,2013,Fresno,Community Regional Medical Center – Fresno,Stomach,9,,-119.78324,36.74253
194,2013,Fresno,Community Regional Medical Center – Fresno,Colon,28,,-119.78324,36.74253
195,2013,Fresno,Community Regional Medical Center – Fresno,Prostate,50,,-119.78324,36.74253
196,2013,Fresno,Community Regional Medical Center – Fresno,Brain,37,,-119.78324,36.74253
197,2013,Fresno,Community Regional Medical Center – Fresno,Bladder,1,,-119.78324,36.74253
198,2013,Fresno,Community Regional Medical Center – Fresno,Liver,22,,-119.78324,36.74253
199,2013,Fresno,Community Regional Medical Center – Fresno,Breast,47,,-119.78324,36.74253
200,2013,Fresno,Community Regional Medical Center – Fresno,Pancreas,17,,-119.78324,36.74253
201,2013,Fresno,Community Regional Medical Center – Fresno,Rectum,14,,-119.78324,36.74253
202,2013,Fresno,Saint Agnes Medical Center,Rectum,10,,-119.7649963,36.8370782
203,2013,Fresno,Saint Agnes Medical Center,Breast,146,,-119.7649963,36.8370782
204,2013,Fresno,Saint Agnes Medical Center,Lung,28,,-119.7649963,36.8370782
205,2013,Fresno,Saint Agnes Medical Center,Prostate,38,,-119.7649963,36.8370782
206,2013,Fresno,Saint Agnes Medical Center,Stomach,1,,-119.7649963,36.8370782
207,2013,Fresno,Saint Agnes Medical Center,Colon,24,,-119.7649963,36.8370782
208,2013,Fresno,Saint Agnes Medical Center,Brain,4,,-119.7649963,36.8370782
209,2013,Fresno,Fresno Surgical Hospital,Breast,38,,-119.78155,36.82531
210,2013,Fresno,Fresno Surgical Hospital,Prostate,8,,-119.78155,36.82531
211,2013,Fresno,Kaiser Foundation Hospital – Fresno,Brain,6,,-119.7832,36.84246
212,2013,Fresno,Kaiser Foundation Hospital – Fresno,Stomach,1,,-119.7832,36.84246
213,2013,Fresno,Kaiser Foundation Hospital – Fresno,Rectum,2,,-119.7832,36.84246
214,2013,Fresno,Kaiser Foundation Hospital – Fresno,Lung,6,,-119.7832,36.84246
215,2013,Fresno,Kaiser Foundation Hospital – Fresno,Breast,129,,-119.7832,36.84246
216,2013,Fresno,Kaiser Foundation Hospital – Fresno,Bladder,1,,-119.7832,36.84246
217,2013,Fresno,Kaiser Foundation Hospital – Fresno,Colon,33,,-119.7832,36.84246
218,2013,Fresno,Fresno Heart and Surgical Hospital,Colon,24,,-119.78931,36.8611
219,2013,Fresno,Fresno Heart and Surgical Hospital,Stomach,3,,-119.78931,36.8611
220,2013,Fresno,Fresno Heart and Surgical Hospital,Rectum,16,,-119.78931,36.8611
221,2013,Fresno,Fresno Heart and Surgical Hospital,Lung,18,,-119.78931,36.8611
222,2013,Fresno,Fresno Heart and Surgical Hospital,Pancreas,2,,-119.78931,36.8611
223,2013,Fresno,Fresno Heart and Surgical Hospital,Liver,3,,-119.78931,36.8611
224,2013,Humboldt,Mad River Community Hospital,Breast,3,,-124.09038,40.90351
225,2013,Humboldt,Mad River Community Hospital,Colon,9,,-124.09038,40.90351
226,2013,Humboldt,Mad River Community Hospital,Esophagus,1,,-124.09038,40.90351
227,2013,Humboldt,Redwood Memorial Hospital,Lung,1,,-124.13549,40.58267
228,2013,Humboldt,Redwood Memorial Hospital,Breast,21,,-124.13549,40.58267
229,2013,Humboldt,Redwood Memorial Hospital,Colon,4,,-124.13549,40.58267
230,2013,Humboldt,Saint Joseph Hospital – Eureka,Brain,2,,-124.14216,40.7832
231,2013,Humboldt,Saint Joseph Hospital – Eureka,Stomach,2,,-124.14216,40.7832
232,2013,Humboldt,Saint Joseph Hospital – Eureka,Prostate,4,,-124.14216,40.7832
233,2013,Humboldt,Saint Joseph Hospital – Eureka,Rectum,4,,-124.14216,40.7832
234,2013,Humboldt,Saint Joseph Hospital – Eureka,Pancreas,3,,-124.14216,40.7832
235,2013,Humboldt,Saint Joseph Hospital – Eureka,Breast,63,,-124.14216,40.7832
236,2013,Humboldt,Saint Joseph Hospital – Eureka,Lung,12,,-124.14216,40.7832
237,2013,Humboldt,Saint Joseph Hospital – Eureka,Colon,19,,-124.14216,40.7832
238,2013,Humboldt,Saint Joseph Hospital – Eureka,Bladder,4,,-124.14216,40.7832
239,2013,Imperial,El Centro Regional Medical Center,Prostate,18,,-115.49824,32.78138
240,2013,Imperial,El Centro Regional Medical Center,Colon,14,,-115.49824,32.78138
241,2013,Imperial,El Centro Regional Medical Center,Brain,1,,-115.49824,32.78138
242,2013,Imperial,El Centro Regional Medical Center,Breast,18,,-115.49824,32.78138
243,2013,Imperial,El Centro Regional Medical Center,Lung,4,,-115.49824,32.78138
244,2013,Imperial,El Centro Regional Medical Center,Bladder,1,,-115.49824,32.78138
245,2013,Imperial,Pioneers Memorial Healthcare District,Brain,1,,-115.55183,32.96003
246,2013,Imperial,Pioneers Memorial Healthcare District,Colon,4,,-115.55183,32.96003
247,2013,Imperial,Pioneers Memorial Healthcare District,Breast,12,,-115.55183,32.96003
248,2013,Imperial,Pioneers Memorial Healthcare District,Prostate,1,,-115.55183,32.96003
249,2013,Inyo,Northern Inyo Hospital,Colon,4,,-118.40756,37.36207
250,2013,Inyo,Northern Inyo Hospital,Breast,6,,-118.40756,37.36207
251,2013,Kern,Delano Regional Medical Center,Breast,7,,-119.23706,35.76143
252,2013,Kern,Delano Regional Medical Center,Stomach,1,,-119.23706,35.76143
253,2013,Kern,Delano Regional Medical Center,Rectum,3,,-119.23706,35.76143
254,2013,Kern,Delano Regional Medical Center,Colon,4,,-119.23706,35.76143
255,2013,Kern,Bakersfield Memorial Hospital,Bladder,1,,-119.00658,35.39051
256,2013,Kern,Bakersfield Memorial Hospital,Lung,26,,-119.00658,35.39051
257,2013,Kern,Bakersfield Memorial Hospital,Brain,15,,-119.00658,35.39051
258,2013,Kern,Bakersfield Memorial Hospital,Rectum,8,,-119.00658,35.39051
259,2013,Kern,Bakersfield Memorial Hospital,Stomach,5,,-119.00658,35.39051
260,2013,Kern,Bakersfield Memorial Hospital,Prostate,5,,-119.00658,35.39051
261,2013,Kern,Bakersfield Memorial Hospital,Colon,34,,-119.00658,35.39051
262,2013,Kern,Bakersfield Memorial Hospital,Breast,61,,-119.00658,35.39051
263,2013,Kern,Kern Medical Center,Brain,3,,-118.967222,35.380833
264,2013,Kern,Kern Medical Center,Liver,2,,-118.967222,35.380833
265,2013,Kern,Kern Medical Center,Lung,1,,-118.967222,35.380833
266,2013,Kern,Kern Medical Center,Stomach,4,,-118.967222,35.380833
267,2013,Kern,Kern Medical Center,Rectum,3,,-118.967222,35.380833
268,2013,Kern,Kern Medical Center,Breast,31,,-118.967222,35.380833
269,2013,Kern,Kern Medical Center,Colon,6,,-118.967222,35.380833
270,2013,Kern,Mercy Hospital – Bakersfield,Rectum,5,,-119.02715,35.37323
271,2013,Kern,Mercy Hospital – Bakersfield,Prostate,17,,-119.02715,35.37323
272,2013,Kern,Mercy Hospital – Bakersfield,Stomach,2,,-119.02715,35.37323
273,2013,Kern,Mercy Hospital – Bakersfield,Lung,4,,-119.02715,35.37323
274,2013,Kern,Mercy Hospital – Bakersfield,Colon,18,,-119.02715,35.37323
275,2013,Kern,Mercy Hospital – Bakersfield,Breast,100,,-119.02715,35.37323
276,2013,Kern,Mercy Hospital – Bakersfield,Brain,2,,-119.02715,35.37323
277,2013,Kern,Mercy Hospital – Bakersfield,Bladder,1,,-119.02715,35.37323
278,2013,Kern,Good Samaritan Hospital – Bakersfield,Prostate,1,,-119.03913,35.41216
279,2013,Kern,Ridgecrest Regional Hospital,Breast,6,,-117.66996,35.6404
280,2013,Kern,Ridgecrest Regional Hospital,Colon,4,,-117.66996,35.6404
281,2013,Kern,Ridgecrest Regional Hospital,Rectum,1,,-117.66996,35.6404
282,2013,Kern,San Joaquin Community Hospital,Rectum,6,,-119.018775,35.383064
283,2013,Kern,San Joaquin Community Hospital,Stomach,2,,-119.018775,35.383064
284,2013,Kern,San Joaquin Community Hospital,Colon,48,,-119.018775,35.383064
285,2013,Kern,San Joaquin Community Hospital,Prostate,13,,-119.018775,35.383064
286,2013,Kern,San Joaquin Community Hospital,Lung,6,,-119.018775,35.383064
287,2013,Kern,San Joaquin Community Hospital,Pancreas,2,,-119.018775,35.383064
288,2013,Kern,San Joaquin Community Hospital,Bladder,1,,-119.018775,35.383064
289,2013,Kern,San Joaquin Community Hospital,Breast,93,,-119.018775,35.383064
290,2013,Kern,San Joaquin Community Hospital,Brain,13,,-119.018775,35.383064
291,2013,Kern,Bakersfield Heart Hospital,Colon,4,,-119.04314,35.38619
292,2013,Kern,Bakersfield Heart Hospital,Breast,2,,-119.04314,35.38619
293,2013,Kern,Bakersfield Heart Hospital,Stomach,1,,-119.04314,35.38619
294,2013,Kings,Adventist Medical Center,Lung,2,,-119.6683912,36.3256247
295,2013,Kings,Adventist Medical Center,Rectum,6,,-119.6683912,36.3256247
296,2013,Kings,Adventist Medical Center,Liver,2,,-119.6683912,36.3256247
297,2013,Kings,Adventist Medical Center,Prostate,7,,-119.6683912,36.3256247
298,2013,Kings,Adventist Medical Center,Colon,22,,-119.6683912,36.3256247
299,2013,Kings,Adventist Medical Center,Stomach,1,,-119.6683912,36.3256247
300,2013,Kings,Adventist Medical Center,Breast,53,,-119.6683912,36.3256247
301,2013,Kings,Adventist Medical Center,Bladder,1,,-119.6683912,36.3256247
302,2013,Lake,Saint Helena Hospital – Clearlake,Colon,6,,-122.6201,38.93556
303,2013,Lake,Saint Helena Hospital – Clearlake,Breast,6,,-122.6201,38.93556
304,2013,Lake,Sutter Lakeside Hospital,Colon,9,,-122.91003,39.10232
305,2013,Lake,Sutter Lakeside Hospital,Breast,8,,-122.91003,39.10232
306,2013,Los Angeles,Alhambra Hospital Medical Center,Rectum,6,,-118.1449,34.08988
307,2013,Los Angeles,Alhambra Hospital Medical Center,Breast,25,,-118.1449,34.08988
308,2013,Los Angeles,Alhambra Hospital Medical Center,Colon,39,,-118.1449,34.08988
309,2013,Los Angeles,Alhambra Hospital Medical Center,Liver,2,,-118.1449,34.08988
310,2013,Los Angeles,Alhambra Hospital Medical Center,Lung,1,,-118.1449,34.08988
311,2013,Los Angeles,Alhambra Hospital Medical Center,Esophagus,1,,-118.1449,34.08988
312,2013,Los Angeles,Alhambra Hospital Medical Center,Stomach,10,,-118.1449,34.08988
313,2013,Los Angeles,Antelope Valley Hospital,Rectum,12,,-118.15767,34.68928
314,2013,Los Angeles,Antelope Valley Hospital,Colon,62,,-118.15767,34.68928
315,2013,Los Angeles,Antelope Valley Hospital,Prostate,38,,-118.15767,34.68928
316,2013,Los Angeles,Antelope Valley Hospital,Pancreas,1,,-118.15767,34.68928
317,2013,Los Angeles,Antelope Valley Hospital,Breast,122,,-118.15767,34.68928
318,2013,Los Angeles,Antelope Valley Hospital,Stomach,3,,-118.15767,34.68928
319,2013,Los Angeles,Antelope Valley Hospital,Lung,10,,-118.15767,34.68928
320,2013,Los Angeles,Antelope Valley Hospital,Brain,8,,-118.15767,34.68928
